mmdd,prophecy,data_notes,style
07-04,The boundary between human and animal will be tested though the cold will come and go uncontested. So it shall be.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-05,"Today, the streets open their throats and do not close them and yet the boilers contemplate silence.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
07-05,"On this day, the city will not keep its counsel today though the cold will come and go uncontested. Let this be known.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-06,"Mark it: the ferries are stuffed with something — ambition, probably though the grime has retreated to consider its options.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
07-06,The air shall fill with voices too numerous to name while the ground will hold firm and ask nothing. Heed it.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
07-07,"The boats carry multitudes and ask no questions, the streets open their throats and do not close them. Proceed accordingly.","• Number of NYC Ferry boardings: Very High
• Number of street and sidewalk noise complaints to 311: Very High",irreverent
07-07,"Before it ends, the waters will carry great multitudes across, what is felt will be spoken aloud, loudly.","• Number of NYC Ferry boardings: Very High
• Number of street and sidewalk noise complaints to 311: Very High",poetic
07-08,"Mark it: the shelter system strains against itself meanwhile the reservoir achieves near-perfect balance, briefly.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
07-08,The city shall be asked to hold more than it expected yet the water will ask nothing of those who drink it.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
07-09,Be advised: the shelter system strains against itself yet the reservoirs barely breathe. Plan around it.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
07-09,What has been neglected shall make itself known though the water will offer little breath to those who need it.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
07-10,"Today, justice is making appointments elsewhere the water is as clean as it is going to get today. Plan around it.","• Number of NYPD arrests: Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low",irreverent
07-10,The water will tip toward one extreme and linger there yet the depths shall hold their air tightly.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
07-11,"Today, the waiting rooms fill and somehow the pipes have made peace with the cold. Take note.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
07-11,The long arm will reach further than expected today as the cold will come and go uncontested.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-12,"The reservoirs run warm, warmer than they should though the reservoirs barely breathe. You have been warned.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
07-12,The shelter of last resort will be sought by many as the walls shall hold their peace.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-13,"The boats carry multitudes and ask no questions at the same time something has been cleaned up, for now. Or don't.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
07-13,"In the hours ahead, what is felt will be spoken aloud, loudly though what gathers in shadows shall remain there today. Let this be known.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
07-14,Know this: the city forgets itself thoroughly and somehow the dogs observe without incident. Proceed accordingly.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
07-14,Many shall cross the harbor before day's end and yet the animals will watch from a careful distance.,"• Number of NYC Ferry boardings: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
07-15,"Mark it: the reservoir has taken a strong chemical stance, the city forgets itself thoroughly. Take note.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of unsanitary condition complaints to 311: Very High",irreverent
07-15,"The water will tip toward one extreme and linger there, that which festers will rise to the surface. Heed it.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of unsanitary condition complaints to 311: Very High",poetic
07-16,"Be advised: something accumulates in corners without shame though dogs are, mysteriously, calm. Take note.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
07-16,The city will wear its wounds openly as the animals will watch from a careful distance. Take shelter or take heed.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
07-17,Mark it: phosphorus makes itself known in the deep at the same time the water is as clean as it is going to get today. Take note.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low",irreverent
07-17,"When the time comes, the city will wear its wounds openly and still the reservoir shall hide nothing today. So it shall be.","• Number of unsanitary condition complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
07-18,"Infrastructure voices its grievances loudly and yet the water reveals its depths and they are fine, apparently. Or don't.","• Number of street condition complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
07-18,The city shall be asked to hold more than it expected and yet the water will carry no hidden burden today.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low",poetic
07-19,"Mark it: the ferries are stuffed with something — ambition, probably while the law rests its hand.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low",irreverent
07-19,"In the hours ahead, the air shall fill with voices too numerous to name and yet the water will ask nothing of those who drink it.","• Number of street and sidewalk noise complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
07-20,Mark it: the city sings off-key and at full volume meanwhile the pipes have made peace with the cold. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
07-20,"When the time comes, many shall cross the harbor before day's end as warmth will ask nothing of anyone today.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-21,"Today, every dog has a grievance and the nerve to file it elsewhere the boilers contemplate silence.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
07-21,The boundary between human and animal will be tested while the walls shall hold their peace. Let this be known.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-22,"On this day, the reservoirs run warm, warmer than they should meanwhile the tiny ones are nowhere to be found. Proceed accordingly.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",irreverent
07-22,"On this day, that which festers will rise to the surface though the deep will hold its silence today. So it shall be.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",poetic
07-23,The reservoir has taken a strong chemical stance yet the dogs observe without incident. Proceed accordingly.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
07-23,The water will tip toward one extreme and linger there while the beasts of the city shall stay their hand.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
07-24,Justice is making appointments while teeth make no commitments today. You have been warned.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
07-24,The long arm will reach further than expected today yet the animals will watch from a careful distance.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
07-25,The waiting rooms fill while the boilers contemplate silence. Plan around it.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
07-25,The city shall be asked to hold more than it expected as warmth will ask nothing of anyone today. Take shelter or take heed.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-26,Mark it: noise achieves a kind of transcendence elsewhere the boilers contemplate silence.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
07-26,"On this day, the city shall be asked to hold more than it expected as warmth will ask nothing of anyone today. Let this be known.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-27,"Be advised: every dog has a grievance and the nerve to file it elsewhere the streets are, briefly, clean. Take note.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
07-27,Many shall cross the harbor before day's end and yet the city will present a cleaner face to the world. Take shelter or take heed.,"• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
07-28,Know this: the harbor is overwhelmed with purpose at the same time the boilers contemplate silence. You have been warned.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
07-28,"On this day, many shall cross the harbor before day's end while no reckoning shall come today.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low",poetic
07-29,Know this: the waiting rooms fill while the pipes have made peace with the cold. Proceed accordingly.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
07-29,That which festers will rise to the surface as the walls shall hold their peace.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-30,Mark it: the waiting rooms fill meanwhile heat arrives in name only. You have been warned.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
07-30,Many will arrive at the threshold of need yet the cold will come and go uncontested.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
07-31,"Know this: the law has a very full calendar, the shelter system strains against itself. Proceed accordingly.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",irreverent
07-31,"Before it ends, the long arm will reach further than expected today, many will arrive at the threshold of need. Let this be known.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",poetic
08-01,Know this: the waiting rooms fill and somehow the reservoirs barely breathe.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
08-01,Reckoning shall find those it seeks and yet the depths shall hold their air tightly.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
08-02,"Today, the reservoir has taken a strong chemical stance yet heat arrives in name only. You have been warned.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-02,"On this day, the reservoir's chemistry shall declare itself and yet the cold will come and go uncontested.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-03,"Be advised: the harbor is overwhelmed with purpose and yet the roads are, uncharacteristically, fine.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low",irreverent
08-03,The streets will overflow with sound and signal even as the roads shall carry all things without complaint.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
08-04,"The city sings off-key and at full volume and somehow the roads are, uncharacteristically, fine. Proceed accordingly.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
08-04,"In the hours ahead, the streets will overflow with sound and signal and still the ground will hold firm and ask nothing.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
08-05,"On this day, the harbor is overwhelmed with purpose yet the water reveals its depths and they are fine, apparently.","• Number of NYC Ferry boardings: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
08-05,Many shall cross the harbor before day's end even as the reservoir will be sparse and still.,"• Number of NYC Ferry boardings: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",poetic
08-06,The shelter system strains against itself meanwhile teeth make no commitments today.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
08-06,"Before it ends, many will arrive at the threshold of need yet no fang shall find purchase today. So it shall be.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
08-07,"On this day, something accumulates in corners without shame and yet the reservoir runs lean and says little.","• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
08-07,What has been neglected shall make itself known even as the water will carry nothing extra today. Take shelter or take heed.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
08-08,Mark it: the gutters have given up all pretense though heat arrives in name only. Or don't.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-08,"Before it ends, that which festers will rise to the surface even as the walls shall hold their peace. Let this be known.","• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-09,Mark it: something accumulates in corners without shame while heat arrives in name only. Take note.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-09,What has been neglected shall make itself known and yet the walls shall hold their peace.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-10,Be advised: the harbor is overwhelmed with purpose yet heat arrives in name only. You have been warned.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-10,"On this day, the boats will bear the weight of a city in motion and still warmth will ask nothing of anyone today. Let this be known.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-11,The block erupts without apology yet the boilers contemplate silence. Proceed accordingly.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-11,The air shall fill with voices too numerous to name and yet the walls shall hold their peace.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-12,"Something accumulates in corners without shame and somehow the reservoir achieves near-perfect balance, briefly. You have been warned.","• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
08-12,"When the time comes, what has been neglected shall make itself known while the reservoir shall hold a perfect, quiet balance.","• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
08-13,Mark it: the city forgets itself thoroughly at the same time the boilers contemplate silence.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-13,Teeth shall find their mark before the day ends as the water will offer little breath to those who need it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
08-14,Mark it: the law has a very full calendar yet the boilers contemplate silence. Proceed accordingly.,"• Number of NYPD arrests: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-14,The reservoir shall bloom with quiet abundance while the depths shall hold their air tightly. Let this be known.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
08-15,Someone is definitely getting caught though the reservoirs barely breathe. You have been warned.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
08-15,"When the time comes, the smallest lives shall multiply beyond counting and still the water will offer little breath to those who need it. Heed it.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
08-16,"The streets open their throats and do not close them, the boats carry multitudes and ask no questions.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High",irreverent
08-16,"When the time comes, the streets will overflow with sound and signal, the boats will bear the weight of a city in motion.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: Very High",poetic
08-17,"The city sings off-key and at full volume while something has been cleaned up, for now.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
08-17,The boats will bear the weight of a city in motion though the ground will hold firm and ask nothing.,"• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low",poetic
08-18,"The block erupts without apology and yet the roads are, uncharacteristically, fine. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
08-18,"When the time comes, the city will not keep its counsel today and still warmth will ask nothing of anyone today. So it shall be.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-19,Know this: nitrogen accumulates in the depths with great enthusiasm at the same time the reservoirs barely breathe. Plan around it.,"• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
08-19,"In the hours ahead, the reservoir shall bloom with quiet abundance even as the water will offer little breath to those who need it. Let this be known.","• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
08-20,Visibility in the deep is very much not happening meanwhile the boilers contemplate silence.,"• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-20,"On this day, the water shall conceal what moves within it while the animals will watch from a careful distance. Let this be known.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
08-21,"Today, the ferries are stuffed with something — ambition, probably, someone is definitely getting caught.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very High",irreverent
08-21,"When the time comes, many shall cross the harbor before day's end, the long arm will reach further than expected today.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very High",poetic
08-22,The city forgets itself thoroughly and somehow the boilers contemplate silence.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-22,That which festers will rise to the surface while the water will ask nothing of those who drink it.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
08-23,Know this: the boats carry multitudes and ask no questions while the pipes have made peace with the cold. Plan around it.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-23,"In the hours ahead, many shall cross the harbor before day's end and still warmth will ask nothing of anyone today.","• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-24,"Mark it: the ferries are stuffed with something — ambition, probably while the streets are in suspiciously good condition.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low",irreverent
08-24,The streets will overflow with sound and signal and still the cold will come and go uncontested.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-25,Mark it: the streets open their throats and do not close them meanwhile the cops are looking elsewhere.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
08-25,Many shall cross the harbor before day's end though the law shall rest its hand upon no one.,"• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low",poetic
08-26,"Today, the reservoirs run warm, warmer than they should yet no one is getting caught, which feels suspicious.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Number of NYPD arrests: Very Low",irreverent
08-26,What has been neglected shall make itself known yet the law shall rest its hand upon no one. Let this be known.,"• Number of unsanitary condition complaints to 311: Very High
• Number of NYPD arrests: Very Low",poetic
08-27,"On this day, the reservoirs run warm, warmer than they should elsewhere the pipes have made peace with the cold. Plan around it.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-27,The reservoirs will hold the season's heat and yet the walls shall hold their peace. Take shelter or take heed.,"• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-28,Be advised: every dog has a grievance and the nerve to file it yet the reservoir runs thin on nutrients.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
08-28,"Before it ends, teeth shall find their mark before the day ends yet the deep will hold its silence today.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",poetic
08-29,The gutters have given up all pretense and somehow heat arrives in name only.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-29,What has been neglected shall make itself known as warmth will ask nothing of anyone today. Take shelter or take heed.,"• Number of unsanitary condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-30,Dogs make their feelings known physically meanwhile the boilers contemplate silence.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-30,"Before it ends, something feral shall break through the ordinary and still the cold will come and go uncontested. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
08-31,Know this: the boats carry multitudes and ask no questions though heat arrives in name only. Proceed accordingly.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
08-31,"On this day, teeth shall find their mark before the day ends though the roads shall carry all things without complaint. Take shelter or take heed.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low",poetic
09-01,The harbor is overwhelmed with purpose and yet the pipes have made peace with the cold. Plan around it.,"• Number of NYC Ferry boardings: Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
09-01,The boats will bear the weight of a city in motion and yet the roads shall carry all things without complaint. So it shall be.,"• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low",poetic
09-02,"On this day, the city sings off-key and at full volume elsewhere justice takes the day off. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
09-02,"On this day, teeth shall find their mark before the day ends yet the roads shall carry all things without complaint. So it shall be.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low",poetic
09-03,The city forgets itself thoroughly though the phosphorus has retreated. Proceed accordingly.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
09-03,The city shall be asked to hold more than it expected as the reservoir will be sparse and still. Let this be known.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",poetic
09-04,Be advised: phosphorus makes itself known in the deep yet the reservoirs barely breathe.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
09-04,"When the time comes, many will arrive at the threshold of need and still the water will offer little breath to those who need it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
09-05,"The water's pH is making choices at the same time the water gasps, quietly, in the deep. Or don't.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
09-05,The long arm will reach further than expected today as the water will offer little breath to those who need it.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
09-06,"The reservoir has taken a strong chemical stance, the shelter system strains against itself. Proceed accordingly.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",irreverent
09-06,"The reservoir's chemistry shall declare itself, many will arrive at the threshold of need.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",poetic
09-07,"The streets open their throats and do not close them elsewhere the roads are, uncharacteristically, fine. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
09-07,"Before it ends, what is felt will be spoken aloud, loudly and still the cold will come and go uncontested. Take shelter or take heed.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
09-08,"On this day, the streets open their throats and do not close them and yet the law rests its hand. Or don't.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
09-08,"In the hours ahead, the boats will bear the weight of a city in motion yet the law shall rest its hand upon no one.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low",poetic
09-09,"On this day, the water heats with unusual purpose while the water gasps, quietly, in the deep.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
09-09,The shelter of last resort will be sought by many as the depths shall hold their air tightly.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
09-10,Be advised: the shelter system strains against itself at the same time the phosphorus has retreated.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
09-10,Many will arrive at the threshold of need though the walls shall hold their peace.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
09-11,"Visibility in the deep is very much not happening, the bureaucracy is overwhelmed and soldiering on.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",irreverent
09-11,"On this day, the water shall conceal what moves within it, the shelter of last resort will be sought by many. Let this be known.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",poetic
09-12,"On this day, the handcuffs find their purpose at the same time dogs are, mysteriously, calm. Proceed accordingly.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
09-12,Reckoning shall find those it seeks as the reservoir shall hide nothing today. Let this be known.,"• Number of NYPD arrests: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
09-13,Mark it: the waiting rooms fill while the pipes have made peace with the cold. Take note.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of heat and hot water complaints to 311: Very Low",irreverent
09-13,"In the hours ahead, the air shall fill with voices too numerous to name though warmth will ask nothing of anyone today.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low",poetic
09-14,"The streets open their throats and do not close them meanwhile the roads are, uncharacteristically, fine. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
