prophecy_index,mmdd,prophecy,data_notes
562,07-06,It will be a time when clamor will refuse to be contained — and when movement between one shore and another will be brisk.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
563,07-06,It will be a time when the ferry will know no rest — and when the path will cooperate in ways that seem almost suspicious.,Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Very Low
564,07-06,"Roads will be unnervingly obliging, and yet decay will remain underground where it belongs.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
565,07-07,Clamor will refuse to be contained; those who seek the other shore will find considerable company.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
566,07-07,"As the water will remember every passage it was made to carry, so too the walls will keep their own counsel.",Number of NYC Ferry boardings: Very High | Number of rodent inspections conducted by NYC: Very Low
567,07-07,The hidden multitude will disperse without fanfare; what follows at the heel will become the danger.,Number of rodent inspections conducted by NYC: Very Low | Number of dog bite incidents reported to DOHMH: Very High
568,07-08,Those without shelter will crowd the hours. And beyond that: rot will rise to the surface at last.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
569,07-08,"As the underneath will assert itself, so too the current will bite those who drink too deeply.",Number of unsanitary condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
570,07-08,What flows will have a sour argument to make; sound will build without becoming deafening.,Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Number of noise (street/sidewalk) complaints to 311: High
571,07-09,It will be a time when those without harbor will be beyond counting — and when the very ground will be in a difficult mood.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of street condition complaints to 311: Very High
572,07-09,"The signs agree: the road will speak through its fractures, and rot will rise to the surface at last.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very High
573,07-09,"The walls will be inhabited more than expected, even while what was ignored will no longer accept being ignored.",Number of unsanitary condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
574,07-10,"When those without shelter will crowd the hours, know also that decay will no longer be polite about its presence.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
575,07-10,Things that were buried will resurface; nourishment will reach where it is most eagerly consumed.,Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
576,07-10,First deep sustenance will be abundant; then a strange sweetness will color the current.,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
577,07-11,"Mark it well: those without harbor will be beyond counting, even as warmth will be a rumor, unconfirmed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
578,07-11,"The pipes will go cold and say nothing about it, and yet the underground will thrive without witnesses.",Number of heat/hot water complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very High
579,07-11,First what gnaws in darkness will gnaw at great volume; then the accounting will be steep.,Number of rodent inspections conducted by NYC: Very High | Number of NYPD arrests: Very High
580,07-12,First the adrift will vastly outnumber the settled; then all warmth will drain out before it can be claimed.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
581,07-12,"It will be a time when warmth will be a rumor, unconfirmed — and when the unseen feast will be well-provisioned.",Number of heat/hot water complaints to 311: Very Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
582,07-12,"When the hidden will be fed well, know also that the hidden host will peak.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Number of rodent inspections conducted by NYC: Very High
583,07-13,It will be a time when the walls will have nothing to give by way of warmth — and when the underground will be emptied of its usual tenants.,Number of heat/hot water complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
584,07-13,"Where what usually moves unseen will take its leave, there too voices will compound until meaning dissolves into volume.",Number of rodent inspections conducted by NYC: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
585,07-13,"Mark it well: the world will speak over itself without pause, even as the ground will offer safe passage, strangely.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Very Low
586,07-14,"The signs agree: the clamor will be magnificent and relentless, and the water will remember every passage it was made to carry.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
587,07-14,"Those who seek the other shore will find considerable company, and yet rot will have its season.",Number of NYC Ferry boardings: Very High | Number of unsanitary condition complaints to 311: Very High
588,07-14,The underneath will assert itself; the teeth will stay hidden behind the smile.,Number of unsanitary condition complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Very Low
589,07-15,"The signs agree: the wandering will be many, and what was swept under will crawl back out.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
590,07-15,Things that were buried will resurface. And beyond that: the hidden waters will run warm with what summer left behind.,Number of unsanitary condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
591,07-15,"The signs agree: something warm stirs in places where warmth was not invited, and the depths will not go hungry.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
592,07-16,"The signs agree: shelter will be sought and not found by many, and what was ignored will no longer accept being ignored.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
593,07-16,"What festers will make itself known without apology, and yet warmth will have seeped to great depth.",Number of unsanitary condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
594,07-16,"Even where it should be cold, warmth will persist; gentleness will prevail in the places you least expected it.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very Low
595,07-17,"Where all warmth will drain out before it can be claimed, there too freedom will require negotiation.",Number of heat/hot water complaints to 311: Very Low | Number of NYPD arrests: Very High
596,07-17,The nets will be cast wide and hauled full. And beyond that: what was tolerated in darkness will demand daylight.,Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Very High
597,07-17,First decay will no longer be polite about its presence; then nourishment will reach where it is most eagerly consumed.,Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
598,07-18,"When wandering will be the condition of multitudes, know also that all warmth will drain out before it can be claimed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
599,07-18,Cold will settle into the walls like an old debt. And beyond that: what lies just beneath the surface will make itself known.,Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very High
600,07-18,First the ground will rise in its complaints and they will be many; then the water will be honest about what it holds.,Number of street condition complaints to 311: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
601,07-19,"Where what should have burned will merely sit there, cold, there too sound will swell until the walls lean inward.",Number of heat/hot water complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
602,07-19,"Clamor will refuse to be contained, and yet what follows at the heel will become the danger.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Very High
603,07-19,"The guardian will become the wound, and yet capture will be rare.",Number of dog bite incidents reported to DOHMH: Very High | Number of NYPD arrests: Very Low
604,07-20,All warmth will drain out before it can be claimed. And beyond that: the underground will be emptied of its usual tenants.,Number of heat/hot water complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
605,07-20,"The world will speak over itself without pause, even while the underground will go quiet.",Number of rodent inspections conducted by NYC: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
606,07-20,"As the streets will cry out in a hundred voices at once, so too departure will be popular.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
607,07-21,"What comes: warmth will be a rumor, unconfirmed. What follows: what usually moves unseen will take its leave.",Number of heat/hot water complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
608,07-21,"The signs agree: the underground will be emptied of its usual tenants, and clamor will refuse to be contained.",Number of rodent inspections conducted by NYC: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
609,07-21,"As the air will thicken with voices that will not be hushed, so too the water will remember every passage it was made to carry.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
610,07-22,"When what was ignored will no longer accept being ignored, know also that what lies below will carry an unexpected warmth.",Number of unsanitary condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
611,07-22,Heat will be found in the last places it should be. And beyond that: the invisible multitudes will thin to near nothing.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
612,07-22,"What follows at the heel will become the danger, even while the unseen host will withdraw.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Number of dog bite incidents reported to DOHMH: Very High
613,07-23,It will be a time when what cannot be seen will barely be there — and when what flows will have an opinion and make it felt.,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
614,07-23,"The deep will run warmer than the season warrants, even while what flows will carry a sweetness that cuts.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
615,07-23,"Even where it should be cold, warmth will persist, and yet the hidden multitude will be vast.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of rodent inspections conducted by NYC: Very High
616,07-24,What comes: the adrift will vastly outnumber the settled. What follows: cold will rule from within the very walls that should shelter.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
617,07-24,"What should have burned will merely sit there, cold, and yet the underneath will assert itself.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
618,07-24,What was tolerated in darkness will demand daylight; no familiar thing will bite.,Number of unsanitary condition complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Very Low
619,07-25,What comes: the rootless will be in great numbers. What follows: fire will have forgotten its purpose entirely.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
620,07-25,"When the furnace will hold its breath and offer nothing, know also that the iron will be busy.",Number of heat/hot water complaints to 311: Very Low | Number of NYPD arrests: Very High
621,07-25,"As the accounting will be steep, so too teeth will come from trusted places.",Number of NYPD arrests: Very High | Number of dog bite incidents reported to DOHMH: Very High
622,07-26,"The wandering will be many, and yet warmth will be a rumor, unconfirmed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
623,07-26,It will be a time when heat will withdraw its offer — and when the streets will cry out in a hundred voices at once.,Number of heat/hot water complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
624,07-26,It will be a time when the air will thicken with voices that will not be hushed — and when the great crossing will be crowded with souls.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
625,07-27,"As the furnace will hold its breath and offer nothing, so too affection will bare its fangs before the day is done.",Number of heat/hot water complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very High
626,07-27,What was trusted most will prove sharpest; the streets will have things to say and will say them loudly.,Number of dog bite incidents reported to DOHMH: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
627,07-27,The streets will cry out in a hundred voices at once; the road will offer no resistance and reveal nothing.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Very Low
628,07-28,All warmth will drain out before it can be claimed. And beyond that: the iron will rest.,Number of heat/hot water complaints to 311: Very Low | Number of NYPD arrests: Very Low
629,07-28,First the iron will rest; then clamor will refuse to be contained.,Number of NYPD arrests: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
630,07-28,"As the world will speak over itself without pause, so too the earth will behave impeccably and give nothing away.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Very Low
631,07-29,"Where those without shelter will crowd the hours, there too cold will settle into the walls like an old debt.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
632,07-29,"First warmth will be a rumor, unconfirmed; then things that were buried will resurface.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
633,07-29,"As things that were buried will resurface, so too nourishment will not reach the depths.",Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
634,07-30,"Those without shelter will crowd the hours, and yet what should have burned will merely sit there, cold.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
635,07-30,"First what should have burned will merely sit there, cold; then what was ignored will no longer accept being ignored.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
636,07-30,"Where the underneath will assert itself, there too teeth will come from trusted places.",Number of unsanitary condition complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Very High
637,07-31,The rootless will be in great numbers; what was swept under will crawl back out.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
638,07-31,"The signs agree: the underneath will assert itself, and the nets will be cast wide and hauled full.",Number of unsanitary condition complaints to 311: Very High | Number of NYPD arrests: Very High
639,07-31,"Where restraint will be generously applied, there too teeth will remain sheathed for now.",Number of NYPD arrests: Very High | Number of dog bite incidents reported to DOHMH: Low
640,08-01,"The adrift will vastly outnumber the settled, and yet what follows at the heel will become the danger.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of dog bite incidents reported to DOHMH: Very High
641,08-01,"As the beloved will show its teeth, so too the accounting will be steep.",Number of dog bite incidents reported to DOHMH: Very High | Number of NYPD arrests: Very High
642,08-01,Freedom will require negotiation; comfort will require effort to locate.,Number of NYPD arrests: Very High | Number of heat/hot water complaints to 311: Low
643,08-02,"Where the walls will have nothing to give by way of warmth, there too the current will be persuasive in a chemical way.",Number of heat/hot water complaints to 311: Very Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
644,08-02,"When the current will be persuasive in a chemical way, know also that nourishment will reach where it is most eagerly consumed.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
645,08-02,What comes: the hidden will be fed well. What follows: the deep will run warmer than the season warrants.,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
646,08-03,"Heat will withdraw its offer, and yet what gnaws will gnaw elsewhere.",Number of heat/hot water complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
647,08-03,"Every corner will have something urgent to announce, even while the underground will be emptied of its usual tenants.",Number of rodent inspections conducted by NYC: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
648,08-03,It will be a time when sound will swell until the walls lean inward — and when the earth will keep its surface smooth and say little.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Very Low
649,08-04,First cold will rule from within the very walls that should shelter; then the earth will keep its surface smooth and say little.,Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
650,08-04,The earth will keep its surface smooth and say little. And beyond that: the streets will have things to say and will say them loudly.,Number of street condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
651,08-04,"As the air will thicken with voices that will not be hushed, so too the underground will go quiet.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low
652,08-05,"The signs agree: wandering will be the condition of multitudes, and what was tolerated in darkness will demand daylight.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
653,08-05,"When rot will rise to the surface at last, know also that the deep will go hungry and say nothing of it.",Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
654,08-05,The deep will go hungry and say nothing of it. And beyond that: the depths will offer up their secrets without being asked.,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
655,08-06,What comes: shelter will be sought and not found by many. What follows: rot will have its season.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
656,08-06,"When rot will have its season, know also that even where it should be cold, warmth will persist.",Number of unsanitary condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
657,08-06,"Where even where it should be cold, warmth will persist, there too what feeds in darkness will go hungry.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
658,08-07,What comes: rot will rise to the surface at last. What follows: capture will come for many who thought themselves beyond it.,Number of unsanitary condition complaints to 311: Very High | Number of NYPD arrests: Very High
659,08-07,"When many will be caught in the ordinary machinery of capture, know also that what nourishes the hidden will run scarce.",Number of NYPD arrests: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
660,08-07,"As what nourishes the hidden will run scarce, so too the hidden life will retreat.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
661,08-08,"What was ignored will no longer accept being ignored, even while cold will settle into the walls like an old debt.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
662,08-08,"When what was tolerated in darkness will demand daylight, know also that the nets will be cast wide and hauled full.",Number of unsanitary condition complaints to 311: Very High | Number of NYPD arrests: Very High
663,08-08,Freedom will require negotiation. And beyond that: sound will keep mostly to itself.,Number of NYPD arrests: Very High | Number of noise (street/sidewalk) complaints to 311: Low
664,08-09,"When heat will withdraw its offer, know also that what was swept under will crawl back out.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
665,08-09,"The wandering will be numerous, even while rot will have its season.",Number of unsanitary condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
666,08-09,"The trusted will become complicated, even while the seeking will be common.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of dog bite incidents reported to DOHMH: High
667,08-10,What comes: the walls will have nothing to give by way of warmth. What follows: the earth will keep its surface smooth and say little.,Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
668,08-10,"As the earth will behave impeccably and give nothing away, so too clamor will refuse to be contained.",Number of street condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
669,08-10,"The signs agree: clamor will refuse to be contained, and departure will be popular.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
670,08-11,"Mark it well: all warmth will drain out before it can be claimed, even as movement between one shore and another will be brisk.",Number of heat/hot water complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
671,08-11,First the crossings will be full and purposeful; then the clamor will be magnificent and relentless.,Number of NYC Ferry boardings: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
672,08-11,First the world will speak over itself without pause; then rot will keep its distance.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Low
673,08-12,"It will be a time when warmth will be a rumor, unconfirmed — and when the hidden filth will speak and be understood.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
674,08-12,What was swept under will crawl back out. And beyond that: nourishment will not reach the depths.,Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
675,08-12,Nourishment will not reach the depths; bitterness will seep from the source.,Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
676,08-13,First cold will settle into the walls like an old debt; then more will be held than released.,Number of heat/hot water complaints to 311: Very Low | Number of NYPD arrests: Very High
677,08-13,"Mark it well: freedom will require negotiation, even as the hidden filth will speak and be understood.",Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Very High
678,08-13,What comes: what festers will make itself known without apology. What follows: beneath every floor something will be very busy.,Number of unsanitary condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
679,08-14,What comes: heat will withdraw its offer. What follows: what was loose will be made tight.,Number of heat/hot water complaints to 311: Very Low | Number of NYPD arrests: Very High
680,08-14,The iron will be busy; the hidden filth will speak and be understood.,Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Very High
681,08-14,"Mark it well: decay will no longer be polite about its presence, even as clarity will be unavailable below the surface.",Number of unsanitary condition complaints to 311: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
682,08-15,"Mark it well: the deep will run warmer than the season warrants, even as something persistent and small will outnumber everything visible.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of rodent inspections conducted by NYC: Very High
683,08-15,What comes: what moves unseen in the walls will have its season. What follows: the water will remember every passage it was made to carry.,Number of rodent inspections conducted by NYC: Very High | Number of NYC Ferry boardings: Very High
684,08-15,First the waters will carry abundant passage; then the beloved will show its teeth.,Number of NYC Ferry boardings: Very High | Number of dog bite incidents reported to DOHMH: Very High
685,08-16,"When clamor will refuse to be contained, know also that the ferry will know no rest.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
686,08-16,What comes: the ferry will know no rest. What follows: the wandering will be numerous.,Number of NYC Ferry boardings: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
687,08-16,"Where the seeking will be common, there too what festers will speak up a little.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of unsanitary condition complaints to 311: High
688,08-17,Silence will be hunted down and eliminated; what festers will fester quietly and without complaint.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very Low
689,08-17,"The unclean will clean itself, briefly; the streets will be smooth in a way that asks no questions.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
690,08-17,"Where roads will be unnervingly obliging, there too the waters will carry abundant passage.",Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
691,08-18,"Mark it well: the furnace will hold its breath and offer nothing, even as the ground will offer safe passage, strangely.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
692,08-18,What comes: the streets will be smooth in a way that asks no questions. What follows: the air will thicken with voices that will not be hushed.,Number of street condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
693,08-18,What comes: every corner will have something urgent to announce. What follows: capture will be rare.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYPD arrests: Very Low
694,08-19,"The ground itself will rebel, even while the walls will have nothing to give by way of warmth.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very High
695,08-19,It will be a time when the pavement will have opinions and express them underfoot — and when rot will have its season.,Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very High
696,08-19,"When rot will have its season, know also that the depths will not go hungry.",Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
697,08-20,"Where the furnace will hold its breath and offer nothing, there too decay will no longer be polite about its presence.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
698,08-20,"Mark it well: decay will no longer be polite about its presence, even as warmth will have seeped to great depth.",Number of unsanitary condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
699,08-20,"Warmth will have seeped to great depth, and yet the very water will carry its own argument.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
700,08-21,Freedom will require negotiation; the crossing will see a great traffic of the seeking.,Number of NYPD arrests: Very High | Number of NYC Ferry boardings: Very High
701,08-21,"As the water will remember every passage it was made to carry, so too rot will have its season.",Number of NYC Ferry boardings: Very High | Number of unsanitary condition complaints to 311: Very High
702,08-21,What was tolerated in darkness will demand daylight. And beyond that: the unhoused will press forward in numbers.,Number of unsanitary condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
703,08-22,"The signs agree: what should have burned will merely sit there, cold, and what was ignored will no longer accept being ignored.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
704,08-22,"Where what was tolerated in darkness will demand daylight, there too a sharp sourness will color everything that flows.",Number of unsanitary condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
705,08-22,"As the current will bite those who drink too deeply, so too the wandering will be numerous.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
706,08-23,"When the pipes will go cold and say nothing about it, know also that those who seek the other shore will find considerable company.",Number of heat/hot water complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
707,08-23,"The signs agree: many will choose departure, and the clamor will be magnificent and relentless.",Number of NYC Ferry boardings: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
708,08-23,It will be a time when voices will compound until meaning dissolves into volume — and when the seeking will be common.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
709,08-24,"All warmth will drain out before it can be claimed, and yet loyalty will turn its edge outward.",Number of heat/hot water complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very High
710,08-24,"As what was trusted most will prove sharpest, so too the streets will have things to say and will say them loudly.",Number of dog bite incidents reported to DOHMH: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
711,08-24,The streets will cry out in a hundred voices at once; the road will offer no resistance and reveal nothing.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Very Low
712,08-25,"It will be a time when what should have burned will merely sit there, cold — and when the water will remember every passage it was made to carry.",Number of heat/hot water complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
713,08-25,Departure will be popular; the clamor will be magnificent and relentless.,Number of NYC Ferry boardings: Very High | Number of noise (street/sidewalk) complaints to 311: Very High
714,08-25,The streets will have things to say and will say them loudly. And beyond that: what rots will do so discreetly.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very Low
715,08-26,The rootless will be in great numbers; things that were buried will resurface.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
716,08-26,The hidden filth will speak and be understood. And beyond that: the depths will remember heat.,Number of unsanitary condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
717,08-26,"The signs agree: what lies below will carry an unexpected warmth, and what flows will have an opinion and make it felt.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
718,08-27,What comes: cold will settle into the walls like an old debt. What follows: what was ignored will no longer accept being ignored.,Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
719,08-27,"As what festers will make itself known without apology, so too the depths will remember heat.",Number of unsanitary condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
720,08-27,What comes: what lies below will carry an unexpected warmth. What follows: those who seek the other shore will find considerable company.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of NYC Ferry boardings: Very High
721,08-28,What comes: those without shelter will crowd the hours. What follows: cold will settle into the walls like an old debt.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
722,08-28,"Warmth will be a rumor, unconfirmed. And beyond that: what festers will make itself known without apology.",Number of heat/hot water complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very High
